page_no,bid_number,detail_url,items,quantity,department,start_date,end_date,relevance,relevance_score,match_count,match_relevency,matches,matches_status,relevency_result,main_relevency_score,dept,ra_no,ra_url,Representation_json,Corrigendum_json
1,GEM/2025/B/6962014,https://bidplus.gem.gov.in/showbidDocument/8669262,,150,"Ministry of Defence
Department of Military Affairs",30-12-2025 11:00 PM,01-01-2026 9:00 AM,0,0.19876111587342105,0,0,[],No,1,0.53792238604803,,GEM/2025/R/598557,https://bidplus.gem.gov.in/showradocumentPdf/8774541,,
1,GEM/2025/B/6997612,https://bidplus.gem.gov.in/showbidDocument/8709767,Facility Management Services -...,1,Urban Development and Urban Housing Department Gujarat,30-12-2025 10:00 PM,01-01-2026 9:00 AM,1,0.6373244522339908,0,0,[],No,1,0.5758064950161486,,GEM/2025/R/598551,https://bidplus.gem.gov.in/showradocumentPdf/8774458,"{""title"": ""×\nPublish Representations"", ""content"": [], ""changes"": []}",
1,GEM/2025/B/7011106,https://bidplus.gem.gov.in/showbidDocument/8725094,TUBE INNER PNEU 355 90 20 C W ...,952,"Ministry of Defence
Department of Military Affairs",30-12-2025 10:00 PM,01-01-2026 9:00 AM,0,0.44153870051605265,1,33,"[{""phrase"": ""0"", ""category"": ""Overall"", ""match_type"": ""exact"", ""weight"": 3, ""matched_text"": ""0""}]",Yes,1,0.64740040739337,MeriScreen HCV,GEM/2025/R/598556,https://bidplus.gem.gov.in/showradocumentPdf/8774515,,
1,GEM/2025/B/6995189,https://bidplus.gem.gov.in/showbidDocument/8707087,,4362,"Ministry of Defence
Department of Military Affairs",30-12-2025 10:00 PM,01-01-2026 9:00 AM,0,0.19876111587342105,0,0,[],No,1,0.53792238604803,,GEM/2025/R/598552,https://bidplus.gem.gov.in/showradocumentPdf/8774486,,
1,GEM/2025/B/6785986,https://bidplus.gem.gov.in/showbidDocument/8468562,Transformer Oil Tan Delta & Re...,3,Energy Department Odisha,30-12-2025 10:00 PM,01-01-2026 9:00 AM,0,0.07928128309041567,0,0,[],No,1,0.5881397376714763,,GEM/2025/R/598555,https://bidplus.gem.gov.in/showradocumentPdf/8774503,,
1,GEM/2025/B/6930567,https://bidplus.gem.gov.in/showbidDocument/8633512,ELECTRONICS METER REGISTER PES...,15,"Ministry of Petroleum and Natural Gas
NA",30-12-2025 10:00 PM,01-01-2026 9:00 AM,0,0.3601024779408311,0,0,[],No,1,0.5998448696175408,,GEM/2025/R/598554,https://bidplus.gem.gov.in/showradocumentPdf/8774498,,
1,GEM/2025/B/6915137,https://bidplus.gem.gov.in/showbidDocument/8615681,"Hydrocortisone 5 mg Tab,Bosent...",161581,"Ministry of Defence
Department of Military Affairs",30-12-2025 10:00 PM,01-01-2026 9:00 AM,1,0.663928669723665,0,0,[],No,1,0.5975566371768019,,GEM/2025/R/598553,https://bidplus.gem.gov.in/list-ra-schedules/8774497,,
1,GEM/2025/B/7017724,https://bidplus.gem.gov.in/showbidDocument/8732437,"Title1,Title2,Title3,Title4,Ti...",498,"Ministry of Defence
Department of Military Affairs",30-12-2025 9:00 PM,31-12-2025 9:00 PM,1,0.8891657837001072,0,0,[],No,1,0.5413332161734106,,GEM/2025/R/598541,https://bidplus.gem.gov.in/showradocumentPdf/8774408,,
1,GEM/2025/B/6869618,https://bidplus.gem.gov.in/showbidDocument/8564009,,1,Panchayats and Rural Housing Department Gujarat,30-12-2025 9:00 PM,31-12-2025 9:00 PM,0,0.19876111587342105,0,0,[],No,1,0.53792238604803,,GEM/2025/R/598540,https://bidplus.gem.gov.in/showradocumentPdf/8774405,"{""title"": ""×\nPublish Representations"", ""content"": [], ""changes"": []}",
1,GEM/2025/B/7005937,https://bidplus.gem.gov.in/showbidDocument/8719325,ELECTRO MAGNETIC EXPLOSIVE & F...,1,"Ministry of Defence
Department of Military Affairs",30-12-2025 9:00 PM,31-12-2025 9:00 PM,0,0.13719916456920625,0,0,[],No,1,0.5786261926832024,,GEM/2025/R/598539,https://bidplus.gem.gov.in/showradocumentPdf/8774394,,
